   2.0000000e-02   8.3219298e+01
   2.2440369e-02   7.5895904e+01
   2.5178508e-02   6.9216867e+01
   2.8250751e-02   6.3125488e+01
   3.1697864e-02   5.7570057e+01
   3.5565588e-02   5.2503411e+01
   3.9905246e-02   4.7882537e+01
   4.4774423e-02   4.3668208e+01
   5.0237729e-02   3.9824645e+01
   5.6367659e-02   3.6319217e+01
   6.3245553e-02   3.3122164e+01
   7.0962678e-02   3.0206339e+01
   7.9621434e-02   2.7546986e+01
   8.9336718e-02   2.5121523e+01
   1.0023745e-01   2.2909349e+01
   1.1246827e-01   2.0891676e+01
   1.2619147e-01   1.9051361e+01
   1.4158916e-01   1.7372762e+01
   1.5886565e-01   1.5841605e+01
   1.7825019e-01   1.4444862e+01
   2.0000000e-01   1.3170632e+01
   2.2440369e-01   1.2008042e+01
   2.5178508e-01   1.0947146e+01
   2.8250751e-01   9.9788345e+00
   3.1697864e-01   9.0947426e+00
   3.5565588e-01   8.2871639e+00
   3.9905246e-01   7.5489578e+00
   4.4774423e-01   6.8734496e+00
   5.0237729e-01   6.2543131e+00
   5.6367659e-01   5.6854233e+00
   6.3245553e-01   5.1606584e+00
   7.0962678e-01   4.6736187e+00
   7.9621434e-01   4.2172114e+00
   8.9336718e-01   3.7830263e+00
   1.0023745e+00   3.3603893e+00
   1.1246827e+00   2.9349574e+00
   1.2619147e+00   2.4867269e+00
   1.4158916e+00   1.9875023e+00
   1.5886565e+00   1.3984540e+00
   1.7825019e+00   6.6991151e-01
   2.0000000e+00  -2.5134158e-01
   2.2440369e+00  -1.3972811e+00
   2.5178508e+00  -2.7239164e+00
   2.8250751e+00  -4.0276642e+00
   3.1697864e+00  -4.8868920e+00
   3.5565588e+00  -4.7691966e+00
   3.9905246e+00  -3.4261298e+00
   4.4774423e+00  -1.3300798e+00
   5.0237729e+00   5.4456640e-01
   5.6367659e+00   1.6766313e+00
   6.3245553e+00   2.4054309e+00
   7.0962678e+00   3.2937496e+00
   7.9621434e+00   4.7112772e+00
   8.9336718e+00   7.0010752e+00
   1.0023745e+01   1.0671125e+01
   1.1246827e+01   1.6525143e+01
   1.2619147e+01   2.5837227e+01
   1.4158916e+01   4.0626978e+01
   1.5886565e+01   6.4095509e+01
